Study_Location,Site / Sampling_Area,Species_Name,Habitat_Type,MP_Presence,MP_Count (items/individual),MP_Type,MP_Structure,MP_Color,Polymer_Type,Source_Suspected,Dominant_Risk_Type,Author
"Sorsogon Bay, Philippines",Sorsogon City,Perna viridis,Coastal (cultured marine farm),Yes,0.31,Line (fiber),Filament,"Blue, Transparent","Organosiloxane, PET",Domestic and aquaculture waste,"Food safety, Human health",Mark Ariel D. Malto et al.
"Sorsogon Bay, Philippines",Casiguran,Perna viridis,Coastal,Yes,2.08,Line (fiber),Filament,"Blue, Transparent","Organosiloxane, PET","Textile, silicone-based products","Food safety, Bioaccumulation",Mark Ariel D. Malto et al.
"Sorsogon Bay, Philippines",Juban,Perna viridis,Coastal,Yes,2.5,"Line (fiber), Film","Filament, Irregular","Blue, Red, Green",PET (polyethylene terephthalate),"Plastic bottles, packaging","Ecological, Human health",Mark Ariel D. Malto et al.
"Sorsogon Bay, Philippines",Sorsogon City,Perna viridis,Coastal,Yes,1.97,Line (fiber),Filament,"Transparent, Blue","PET, Organosiloxane","Urban runoff, household waste",Food safety,Mark Ariel D. Malto et al.
"Sorsogon Bay, Philippines",Casiguran,Perna viridis,Coastal,Yes,2.33,Line (fiber),Filament,Transparent,PET,"Plastic industry, textiles","Food safety, Human health",Mark Ariel D. Malto et al.
"Sorsogon Bay, Philippines",Juban,Perna viridis,Coastal,Yes,0.23–1.15 (items/g wet wt),"Line (fiber), Film, Pellet (rare)","Filament, Irregular","Blue, Transparent, Red, Black","PET, Organosiloxane",Urban and marine plastic waste,"Ecological, Human health",Mark Ariel D. Malto et al.
"Sorsogon Bay, Philippines",N/A (general across sites),Perna viridis,Marine (aquaculture),Yes,0.31–2.5,"Fiber (67%), Film, Fragment, Pellet (rare)","Filament, Angular","Blue (dominant), Transparent, Red, Green, Black","PET (33%), Organosiloxane (24%), Cellulose (43%)","Household waste, silicone products, textile fibers","Food safety, Bioaccumulation, Ecological",Mark Ariel D. Malto et al.
"Sorsogon Bay, Philippines",N/A (average across bay),Perna viridis,Marine (farm),Yes,"0.3–2.5 (individual), 0.23–1.15 (g wet wt)",Fiber (Lines),Filament,"Blue, Transparent","PET, Organosiloxane","Domestic silicone products, plastics","Human health, Ecological",Mark Ariel D. Malto et al.
"Laguna de Bay, Philippines",Station 1 (South Bay),,Freshwater (lake surface),Yes,17.14,"Fiber, Fragment, Film, Granule","Filament, Irregular","Blue, Transparent","PP, EVA, PET",Domestic and fishery waste,"Ecological, Water quality",Arcadio et al. (2022)
"Laguna de Bay, Philippines",Station 2 (West Bay),,Freshwater,Yes,24.17,"Fiber, Film, Fragment, Granule","Filament, Irregular","Blue, Black, Transparent","PP (30%), EVA, PET","Urban runoff, domestic plastics","Ecological, Human health",Arcadio et al. (2022)
"Laguna de Bay, Philippines",Station 3 (West Bay),,Freshwater,Yes,17.14,"Fiber, Film, Fragment",Filament,"Blue, Brown","PP, PET","Urban/domestic waste, PPEs",Ecological,Arcadio et al. (2022)
"Laguna de Bay, Philippines",Station 4 (West Bay),,Freshwater,Yes,18.57,"Fiber, Film",Filament,"Blue, Transparent","PP, PET, LDPE","Urban pollution, textile fibers",Ecological,Arcadio et al. (2022)
"Laguna de Bay, Philippines",Station 5 (Central Bay),,Freshwater,Yes,11.43,"Fiber, Fragment, Film","Filament, Irregular","Blue, Transparent","PP, PET",Fish landing beaches (rural),Ecological,Arcadio et al. (2022)
"Laguna de Bay, Philippines",Station 6 (Central Bay),,Freshwater,Yes,7.14,"Fiber, Fragment",Filament,"Blue, Transparent","PP, PET",Rural domestic sources,Ecological,Arcadio et al. (2022)
"Laguna de Bay, Philippines",Station 7 (South Bay),,Freshwater,Yes,10,"Fiber, Fragment, Film, Granule","Filament, Irregular","Blue, Transparent","PP, EVA, PET","Fishery, PPE disposal","Water quality, Ecological",Arcadio et al. (2022)
"Laguna de Bay, Philippines",Station 8 (East Bay),,Freshwater,Yes,14.29,"Fiber, Film, Fragment","Filament, Irregular","Blue (53%), Transparent","PP, PET, EVA","Household waste, PPEs","Ecological, Human health",Arcadio et al. (2022)
"Laguna de Bay, Philippines",Station 9 (East Bay),,Freshwater,Yes,8.57,"Fiber, Fragment",Filament,"Blue, Transparent","PP, PET",Textile and domestic sources,Water quality,Arcadio et al. (2022)
"Laguna de Bay, Philippines",Station 10 (East Bay),,Freshwater,Yes,11.43,"Fiber, Fragment",Filament,"Blue, Transparent, Black","PP, EVA, PET","Domestic, Industrial discharge","Ecological, Food web",Arcadio et al. (2022)
"Laguna de Bay, Philippines",Overall (mean of 10 sites),,Freshwater lake,Yes,14.29 (mean),"Fiber (57%), Fragment (21%), Film (17%), Filament (3%), Granule (2%)","Filament, Irregular","Blue (53%), Transparent (19%), Black (10%), Brown (9%), White (5%), Red (4%)","PP (30%), EVA, PET, LDPE, HDPE, GPPS, PVC, ABS, PMMA, PBT, Polyamide","Urban runoff, plastic waste, face masks, aquaculture","Ecological, Human health, Fisheries",Arcadio et al. (2022)
"Manila Bay, Philippines",Baseco Port Area (Station 1),,"Marine (harbor sediment, high tide)",Yes,27.3 ± 6.5 (dominant: fragment),"Fragment, Fiber, Film, Foam, Pellet, Filament","Irregular, Filament",,N/A (no FTIR data),Domestic and maritime activity,"Ecological, Bioavailability",Castro et al. (2021)
"Manila Bay, Philippines",Baseco Port Area (Station 2),,"Marine (harbor sediment, high tide)",Yes,27.3 ± 6.5,"Fragment (84.1%), Fiber (4.1%), Pellet (4.1%), Foam (3.1%), Film (3.1%), Filament (1.5%)","Irregular, Filament",,,"Human settlements, Port discharge",Ecological,Castro et al. (2021)
"Manila Bay, Philippines",Baseco Port Area (Station 3),,Marine sediment,Yes,~32.5 (avg total),"Fragment, Fiber, Film",Irregular,,,"Breakdown of packaging, fishing tools",Ecological,Castro et al. (2021)
"Manila Bay, Philippines",Baseco Port Area (Station 4),,Marine sediment (low tide),Yes,27.3 ± 6.5,Fragment dominant,Irregular,,,Weathering and fragmentation,"Ecological, Food web",Castro et al. (2021)
"Manila Bay, Philippines",Baseco Port Area (Station 5),,Marine sediment,Yes,32.5,"Fragment, Fiber, Film","Irregular, Filament",,,Land-based sources,Ecological,Castro et al. (2021)
"Manila Bay, Philippines",Baseco Port Area (Station 6),,Marine sediment,Yes,32.5,"Fragment, Fiber",Irregular,,,Maritime and cargo activities,Ecological,Castro et al. (2021)
"Manila Bay, Philippines",Baseco Port Area (Station 7),,Marine sediment,No (ND),0,,,,,,,Castro et al. (2021)
"Manila Bay, Philippines",Baseco Port Area (Station 8),,Marine sediment,Yes,32.5,"Fragment, Fiber",Irregular,,,Coastal waste and sewage,Ecological,Castro et al. (2021)
"Manila Bay, Philippines",Baseco Port Area (Station 9),,Marine sediment,Yes,32.5,"Fragment, Fiber, Pellet","Irregular, Filament",,,"Mixed human activity, cargo","Ecological, Food safety",Castro et al. (2021)
"Manila Bay, Philippines",Overall (mean of 9 stations),,Marine (harbor sediment),Yes,32.5 ± 7.2,"Fragment (84.1%), Fiber (4.1%), Pellet (4.1%), Foam (3.1%), Film (3.1%), Filament (1.5%)","Irregular, Filament",,,"Anthropogenic (household waste, fishing gear, shipping)","Ecological, Bioaccumulation, Food web",Castro et al. (2021)
"Zamboanga City, Philippines","Magay Public Market (6.9045°N, 122.0744°E)",Siganus guttatus (Rabbitfish),Marine / Coastal,Yes,51.97 ± 19.03,"Filamentous, Fragment, Angular",Filamentous (dominant),"Blue (dominant), Black, Red, Green",,"Terrestrial sources (textiles, household dust, single-use plastics, worn paint)","Food safety, human health","Mejos, Cotamora, Vidal, Baguio-Gonzales, Tito & Alejos (2023)"
"Zamboanga City, Philippines","Magay Public Market (6.9045°N, 122.0744°E)",Scarus ghobban (Parrotfish),Marine / Coastal,Yes,19.29 ± 11.27,"Filamentous, Fragment, Angular",Filamentous (dominant),"Red (dominant), Blue, Black, Green",,"Terrestrial sources (textiles, household dust, single-use plastics, worn paint)","Food safety, human health","Mejos, Cotamora, Vidal, Baguio-Gonzales, Tito & Alejos (2023)"
"Northern Laguna Lake, Philippines","Barangay Baybayin, Los Baños",,Freshwater (shoreline sediment),Yes,258 ± 22,"Fiber (dominant), Fragment, Film","Filament, Irregular","Blue, Transparent, Red, Black","Polypropylene (PP), Polyethylene (PE), Polyester (PES)","Domestic waste, fishing gear, packaging","Ecological, Water quality",N/A (2023)
"Northern Laguna Lake, Philippines","Barangay Tadlac, Los Baños",,Freshwater (shoreline sediment),Yes,175 ± 17,"Fiber, Fragment","Filament, Irregular","Blue, Transparent, Red","PP, PE, PET","Textile fibers, consumer plastics",Ecological,N/A (2023)
"Northern Laguna Lake, Philippines","Barangay Bayog, Los Baños",,Freshwater (shoreline sediment),Yes,198 ± 20,"Fiber, Fragment, Film",Filament,"Blue, Black, Transparent","PP, PE, PET","Domestic sewage, tourism, fishing","Ecological, Food web",N/A (2023)
"Northern Laguna Lake, Philippines","Barangay Mayondon, Los Baños",,Freshwater (shoreline sediment),Yes,147 ± 15,"Fiber (dominant), Fragment","Filament, Irregular","Blue, Transparent","PP, PE, PET","Domestic discharge, fishing lines","Ecological, Water quality",N/A (2023)
"Northern Laguna Lake, Philippines",Barangay Baybayin (replicate 2),,Freshwater (shoreline sediment),Yes,264 ± 25,"Fiber, Fragment",Filament,"Blue (dominant), Red","PP, PE",Textile and fishing nets,"Ecological, Bioavailability",N/A (2023)
